Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Note
"IG","Government Expenditure","112","Belarus","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2019","2019","million USD","1365.87","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2020","2020","million USD","1197.25","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2021","2021","million USD","1693.17","consolidated General Government"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2022","2022","million USD","1807.32","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2001","2001","million USD","294.14","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2002","2002","million USD","226.91","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2003","2003","million USD","294.8","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2004","2004","million USD","367.91","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2005","2005","million USD","381.66","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2006","2006","million USD","358.28","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2007","2007","million USD","421.14","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2008","2008","million USD","462.15","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2009","2009","million USD","308.32","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2010","2010","million USD","315.29","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2011","2011","million USD","265.92","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2012","2012","million USD","291.05","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2013","2013","million USD","333.94","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2014","2014","million USD","338.74","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2015","2015","million USD","397.92","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2016","2016","million USD","410.66","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2017","2017","million USD","423.63","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2018","2018","million USD","419.75","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2019","2019","million USD","380.06","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2020","2020","million USD","446.38","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2021","2021","million USD","453.81","consolidated General Government"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2022","2022","million USD","437.53","consolidated General Government"
"IG","Government Expenditure","068","Bolivia (Plurinational State of)","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2001","2001","million USD","58.76","consolidated General Government"
"IG","Government Expenditure","068","Bolivia (Plurinational State of)","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2002","2002","million USD","52.82","consolidated General Government"
"IG","Government Expenditure","068","Bolivia (Plurinational State of)","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2003","2003","million USD","41.23","consolidated General Government"
"IG","Government Expenditure","068","Bolivia (Plurinational State of)","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2004","2004","million USD","49.85","consolidated General Government"
"IG","Government Expenditure","068","Bolivia (Plurinational State of)","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2005","2005","million USD","59.55","consolidated General Government"
"IG","Government Expenditure","068","Bolivia (Plurinational State of)","6110","Value US$","23131","Agriculture, forestry, fishing (General Government)","2006","2006","million USD","77.02","consolidated General Government"
