"country","year","diet_energy_supply","gdp_per_capita","political_stability","food_supply_variability","safe_water_access","basic_water_access","basic_sanitation_access","percentage_of_children_under_5_years_of_age_who_are_stunted_modelled_estimates_percent","number_of_children_under_5_years_of_age_who_are_stunted_modeled_estimates_million","percentage_of_children_under_5_years_of_age_who_are_overweight_modelled_estimates_percent","number_of_children_under_5_years_of_age_who_are_overweight_modeled_estimates_million","prevalence_of_obesity_in_the_adult_population_18_years_and_older_percent","number_of_obese_adults_18_years_and_older_million","prevalence_of_anemia_among_women_of_reproductive_age_1549_years_percent","number_of_women_of_reproductive_age_1549_years_affected_by_anemia_million","minimum_dietary_energy_requirement_kcalcapday","average_dietary_energy_requirement_kcalcapday","coefficient_of_variation_of_habitual_caloric_consumption_distribution_real_number","incidence_of_caloric_losses_at_retail_distribution_level_percent","percentage_of_population_using_safely_managed_sanitation_services_percent","prevalence_of_low_birthweight_percent","number_of_newborns_with_low_birthweight_million"
"Lesotho",2017,NA,2820.2,-0.19,NA,25,72,45,33.4,0.1,7.1,0.1,18.2,0.2,27.3,0.1,1773,2292,0.27,2.99,42,14.6,0.1
"Lesotho",2018,NA,2743.8,-0.19,NA,26,72,46,32.9,0.1,7.1,0.1,18.7,0.2,27.5,0.2,1774,2293,0.27,2.94,44,14.6,0.1
"Lesotho",2019,NA,2671.3,-0.43,NA,27,73,48,32.6,0.1,7,0.1,19.2,0.3,27.9,0.2,1776,2295,0.27,2.96,46,14.5,0.1
"Lesotho",2020,NA,2440.9,-0.25,NA,28,73,50,32.3,0.1,7,0.1,19.8,0.3,NA,NA,1779,2299,0.31,3.15,48,14.4,0.1
"Lesotho",2021,NA,2456.3,-0.21,NA,28,74,50,32,0.1,6.9,0.1,20.4,0.3,NA,NA,1781,2301,0.31,3.02,48,NA,NA
"Lesotho",2022,NA,2457.4,-0.13,NA,28,74,50,31.8,0.1,6.9,0.1,21,0.3,NA,NA,1782,2303,0.31,3.02,48,NA,NA
"Liberia",2017,2178,1677.5,-0.32,27,NA,73,20,31,0.2,4,0.1,13,0.3,42.4,0.5,1709,2199,0.37,3.07,NA,19.8,0.1
"Liberia",2018,2143,1664.7,-0.2,39,NA,74,20,30.1,0.2,4.2,0.1,13.7,0.3,42.5,0.5,1713,2205,0.37,3.08,NA,19.8,0.1
"Liberia",2019,2130,1592.4,-0.34,28,NA,74,21,29.2,0.2,4.5,0.1,14.4,0.4,42.6,0.5,1716,2210,0.36,3.12,NA,19.9,0.1
"Liberia",2020,2108,1513.8,-0.31,25,NA,75,21,28,0.2,4.8,0.1,15.2,0.4,NA,NA,1718,2213,0.36,3.25,NA,19.9,0.1
"Liberia",2021,2099,1556.9,-0.29,20,NA,75,22,27.2,0.2,5,0.1,16.1,0.4,NA,NA,1723,2220,0.36,3.21,NA,NA,NA
"Liberia",2022,2102,1598.2,-0.29,24,NA,76,22,26.6,0.2,5.3,0.1,17,0.5,NA,NA,1727,2226,0.36,3.21,NA,NA,NA
"Libya",2017,3127,18074.2,-2.35,19,NA,99,92,43.1,0.3,27.1,0.2,34.5,1.4,29.4,0.5,1831,2365,0.34,3.15,24,NA,NA
"Libya",2018,3144,19209.8,-2.43,21,NA,99,92,45.6,0.3,27.4,0.2,35,1.5,29.6,0.6,1835,2371,0.34,3.31,24,NA,NA
"Libya",2019,3180,16822,-2.57,9,NA,99,92,47.9,0.3,27.6,0.2,35.4,1.5,29.9,0.6,1840,2378,0.35,3.28,24,NA,NA
"Libya",2020,3139,11660.6,-2.46,12,NA,99,92,49.6,0.3,27.9,0.2,35.8,1.6,NA,NA,1843,2384,0.38,3.27,24,NA,NA
"Libya",2021,3198,15133.8,-2.31,19,NA,99,92,51,0.3,28.3,0.2,36.3,1.6,NA,NA,1847,2390,0.39,3.44,24,NA,NA
"Libya",2022,3195,14777.6,-2.2,21,NA,99,92,52.2,0.3,28.7,0.2,36.7,1.7,NA,NA,1852,2396,0.38,3.44,24,NA,NA
"Lithuania",2017,3323,39736.1,0.77,43,94,98,93,5,0.1,5.5,0.1,24.1,0.6,19.4,0.1,1904,2468,0.22,2.07,92,4.7,0.1
"Lithuania",2018,3278,41719.1,0.73,12,95,98,93,4.9,0.1,5.2,0.1,24.4,0.6,19.6,0.1,1902,2465,0.22,2.11,93,4.6,0.1
"Lithuania",2019,3296,43781.3,0.77,24,95,98,94,4.8,0.1,4.9,0.1,24.6,0.6,19.9,0.1,1901,2463,0.21,2.01,94,4.6,0.1
"Lithuania",2020,3335,43758.8,0.92,27,95,98,94,4.7,0.1,4.8,0.1,24.8,0.6,NA,NA,1901,2463,0.23,2,94,4.4,0.1
"Lithuania",2021,3355,46410.1,0.81,26,95,98,95,4.6,0.1,4.7,0.1,25.1,0.6,NA,NA,1899,2460,0.22,2.04,95,NA,NA
"Lithuania",2022,3419,47025.4,0.65,21,95,98,95,4.5,0.1,4.7,0.1,25.4,0.6,NA,NA,1898,2459,0.22,2.04,95,NA,NA
"Luxembourg",2017,3379,133845,1.31,19,99,99,98,NA,NA,NA,NA,18.2,0.1,9.7,0.1,1991,2590,0.2,2.1,94,7.7,0.1
"Luxembourg",2018,3407,132889,1.35,18,99,99,98,NA,NA,NA,NA,18.2,0.1,10,0.1,1991,2590,0.2,2.06,94,7.7,0.1
"Luxembourg",2019,3513,134106,1.33,19,99,99,98,NA,NA,NA,NA,18.3,0.1,10.2,0.1,1992,2592,0.2,1.96,95,7.7,0.1
"Luxembourg",2020,3477,130690,1.21,60,99,99,98,NA,NA,NA,NA,18.3,0.1,NA,NA,1988,2585,0.2,2.02,95,7.7,0.1
"Luxembourg",2021,3471,137947,1.19,62,99,99,98,NA,NA,NA,NA,18.4,0.1,NA,NA,1986,2582,0.2,2,96,NA,NA
"Luxembourg",2022,3447,137059,1.06,51,99,99,98,NA,NA,NA,NA,18.4,0.1,NA,NA,1988,2586,0.2,2,96,NA,NA
"Madagascar",2017,2028,1715.2,-0.3,34,19,50,12,43.4,1.7,1.5,0.1,3.1,0.4,37.5,2.3,1685,2171,0.28,3.15,10,19,0.2
"Madagascar",2018,2021,1725.3,-0.58,21,19,50,13,42.4,1.7,1.5,0.1,3.3,0.5,37.7,2.4,1688,2175,0.28,3.1,11,18.9,0.2
"Madagascar",2019,1995,1756.5,-0.31,17,20,51,13,41.4,1.7,1.5,0.1,3.5,0.5,37.8,2.5,1691,2179,0.28,3.11,11,18.8,0.2
"Madagascar",2020,1982,1591.2,-0.51,7,21,52,14,40.4,1.6,1.5,0.1,3.7,0.6,NA,NA,1693,2183,0.29,3,12,18.7,0.2
"Madagascar",2021,1978,1642.3,-0.54,5,22,53,14,39.4,1.6,1.5,0.1,4,0.6,NA,NA,1705,2197,0.29,2.98,12,NA,NA
"Madagascar",2022,1979,1664.6,-0.53,12,22,54,15,38.6,1.6,1.5,0.1,4.3,0.7,NA,NA,1707,2200,0.3,2.98,12,NA,NA
"Malawi",2017,2606,1689.5,-0.25,36,15,68,38,37.7,1.1,3.9,0.1,5.9,0.5,30.8,1.3,1679,2158,0.36,4.31,36,15.8,0.1
"Malawi",2018,2613,1717,-0.43,28,15,69,41,36.9,1.1,3.8,0.1,6.2,0.6,31,1.4,1685,2167,0.37,4.44,38,15.7,0.1
"Malawi",2019,2597,1762.6,-0.29,19,16,70,43,36.1,1.1,3.8,0.1,6.6,0.6,31.4,1.4,1690,2174,0.37,4.32,40,15.6,0.1
"Malawi",2020,2642,1730,-0.12,22,16,70,45,35.3,1.1,3.8,0.1,6.9,0.7,NA,NA,1695,2182,0.4,4.36,42,15.6,0.1
"Malawi",2021,2665,1731.8,-0.11,17,17,71,47,34.6,1,3.8,0.1,7.3,0.7,NA,NA,1700,2189,0.4,4.34,44,NA,NA
"Malawi",2022,2645,1703.6,-0.15,31,18,72,49,34,1,3.9,0.1,7.7,0.8,NA,NA,1704,2196,0.39,4.34,46,NA,NA
"Malaysia",2017,2928,29911.5,0.11,26,94,97,96,20.1,0.5,6,0.2,18.9,4.3,31.3,2.6,1841,2388,0.21,2.84,82,13.5,0.1
"Malaysia",2018,2940,30950.3,0.25,17,94,97,96,20.6,0.5,5.9,0.2,19.5,4.5,31.6,2.7,1843,2390,0.21,2.84,83,13.6,0.1
"Malaysia",2019,2949,31917.4,0.15,18,94,97,96,21,0.5,5.9,0.2,20.1,4.7,32,2.8,1845,2392,0.21,2.84,84,13.7,0.1
"Malaysia",2020,2999,29815.9,0.12,10,94,97,96,21.4,0.6,5.8,0.2,20.8,5,NA,NA,1847,2394,0.21,2.79,84,13.8,0.1
"Malaysia",2021,2982,30456.1,0.06,16,94,97,96,21.7,0.6,5.7,0.1,21.4,5.2,NA,NA,1848,2395,0.21,2.79,85,NA,NA
"Malaysia",2022,3006,32735.4,0.14,14,94,97,96,21.9,0.6,5.7,0.1,22.1,5.4,NA,NA,1850,2397,0.21,2.79,86,NA,NA
"Maldives",2017,NA,19332.6,0.22,NA,NA,99,96,15.1,0.1,4.6,0.1,13.9,0.1,50.3,0.1,1864,2418,0.26,4.08,NA,13.8,0.1
"Maldives",2018,NA,20265.6,0.08,NA,NA,99,97,14.9,0.1,4.3,0.1,14.5,0.1,51.3,0.1,1867,2420,0.26,3.96,NA,13.7,0.1
"Maldives",2019,NA,21108.9,0.03,NA,NA,99,98,14.6,0.1,4,0.1,15.2,0.1,52.2,0.1,1870,2423,0.26,3.92,NA,13.7,0.1
"Maldives",2020,NA,13888.8,0.36,NA,NA,99,99,14.3,0.1,3.8,0.1,15.9,0.1,NA,NA,1871,2424,0.26,3.84,NA,13.7,0.1
"Maldives",2021,NA,18865.7,0.53,NA,NA,99,99,14.1,0.1,3.5,0.1,16.6,0.1,NA,NA,1870,2421,0.26,3.88,NA,NA,NA
"Maldives",2022,NA,21393.7,0.67,NA,NA,99,99,13.9,0.1,3.3,0.1,17.3,0.1,NA,NA,1869,2418,0.26,3.88,NA,NA,NA
"Mali",2017,2762,2437.1,-1.9,49,NA,76,41,27.2,1,1.7,0.1,9.2,0.8,58.6,2.4,1648,2114,0.26,3.26,13,NA,NA
"Mali",2018,2751,2473,-2.08,33,NA,78,43,26.4,1,1.8,0.1,9.6,0.9,58.8,2.5,1703,2188,0.26,3.25,14,NA,NA
"Mali",2019,2790,2510.8,-2.21,10,NA,79,45,25.6,1,1.8,0.1,10,0.9,59,2.6,1705,2191,0.26,3.15,14,NA,NA
"Mali",2020,2810,2403.1,-2.15,15,NA,81,47,24.9,1,1.8,0.1,10.4,1,NA,NA,1707,2195,0.26,3.3,15,NA,NA
"Mali",2021,2774,2399.5,-2.33,26,NA,82,48,24.3,1,1.9,0.1,10.9,1.1,NA,NA,1710,2198,0.26,3.36,15,NA,NA
"Mali",2022,2792,2413,-2.48,25,NA,84,50,23.8,1,2,0.1,11.4,1.2,NA,NA,1712,2202,0.35,3.36,16,NA,NA
"Malta",2017,3436,49829.6,1.24,30,99,99,99,NA,NA,NA,NA,31.2,0.1,13,0.1,1964,2558,0.2,2.19,88,7.1,0.1
"Malta",2018,3396,51688.3,1.27,37,99,99,99,NA,NA,NA,NA,31.4,0.1,13.3,0.1,1969,2565,0.2,2.14,88,7.1,0.1
"Malta",2019,3326,53203.6,1.01,35,99,99,99,NA,NA,NA,NA,31.6,0.1,13.7,0.1,1971,2567,0.2,2.06,88,7.2,0.1
"Malta",2020,3309,47836.3,1,35,99,99,99,NA,NA,NA,NA,31.8,0.1,NA,NA,1968,2563,0.21,2.02,88,7.2,0.1
"Malta",2021,3334,53387.2,0.89,38,99,99,99,NA,NA,NA,NA,32,0.1,NA,NA,1973,2569,0.21,1.97,88,NA,NA
"Malta",2022,3312,55727.7,0.91,36,99,99,99,NA,NA,NA,NA,32.3,0.1,NA,NA,1973,2567,0.21,1.97,88,NA,NA
"Marshall Islands",2017,NA,5130.2,1.03,NA,NA,86,82,34.2,0.1,4.1,0.1,43.9,0.1,30.2,0.1,NA,NA,NA,3.02,NA,NA,NA
"Marshall Islands",2018,NA,5561.8,1,NA,NA,86,82,33.6,0.1,4.2,0.1,44.2,0.1,30.4,0.1,NA,NA,NA,3.02,NA,NA,NA
"Marshall Islands",2019,NA,6310.9,1.18,NA,NA,86,81,32.7,0.1,4.2,0.1,44.6,0.1,30.6,0.1,NA,NA,NA,3.02,NA,NA,NA
"Marshall Islands",2020,NA,6317,0.98,NA,NA,86,81,31.9,0.1,4.3,0.1,45.1,0.1,NA,NA,NA,NA,NA,3.02,NA,NA,NA
"Marshall Islands",2021,NA,6594.3,0.93,NA,NA,85,81,31.2,0.1,4.3,0.1,45.5,0.1,NA,NA,NA,NA,NA,3.02,NA,NA,NA
"Marshall Islands",2022,NA,6625.5,1.06,NA,NA,85,82,30.5,0.1,4.4,0.1,45.9,0.1,NA,NA,NA,NA,NA,3.02,NA,NA,NA
"Mauritania",2017,2906,6124.2,-0.63,34,NA,69,46,24.6,0.2,1.9,0.1,19.1,0.4,43.7,0.5,1718,2208,0.31,2.89,NA,NA,NA
"Mauritania",2018,2941,6250.1,-0.63,26,NA,71,48,24.3,0.2,1.9,0.1,19.8,0.4,43.5,0.5,1721,2214,0.31,2.94,NA,NA,NA
"Mauritania",2019,2951,6280.1,-0.56,21,NA,72,50,23.8,0.2,1.9,0.1,20.5,0.5,43.3,0.5,1724,2218,0.32,2.98,NA,NA,NA
"Mauritania",2020,2962,6097.8,-0.7,16,NA,74,52,23.3,0.2,1.9,0.1,21.2,0.5,NA,NA,1728,2224,0.33,2.95,NA,NA,NA
"Mauritania",2021,2964,5988.2,-0.56,17,NA,76,54,22.7,0.2,2,0.1,21.9,0.5,NA,NA,1754,2261,0.33,2.95,NA,NA,NA
"Mauritania",2022,3000,6207.1,-0.51,11,NA,78,56,22.1,0.2,2,0.1,22.7,0.6,NA,NA,1758,2267,0.35,2.95,NA,NA,NA
"Mauritius",2017,2981,24073.2,0.96,18,NA,99,96,8.9,0.1,7,0.1,17.6,0.2,22,0.1,1883,2443,0.27,3.05,NA,18.8,0.1
"Mauritius",2018,2988,25024.1,0.86,15,NA,99,NA,8.9,0.1,6.9,0.1,17.9,0.2,22.7,0.1,1883,2444,0.27,3.04,NA,18.7,0.1
"Mauritius",2019,3026,25739.4,0.8,14,NA,99,NA,8.9,0.1,6.9,0.1,18.2,0.2,23.5,0.1,1884,2445,0.27,3.02,NA,18.7,0.1
"Mauritius",2020,3065,21994.7,0.87,11,NA,99,NA,8.8,0.1,6.8,0.1,18.5,0.2,NA,NA,1885,2447,0.3,2.96,NA,18.7,0.1
"Mauritius",2021,3063,22737.6,0.83,14,NA,99,NA,8.7,0.1,6.8,0.1,18.9,0.2,NA,NA,1884,2445,0.28,2.91,NA,NA,NA
"Mauritius",2022,3257,24831.5,0.84,13,NA,99,NA,8.6,0.1,6.8,0.1,19.2,0.2,NA,NA,1885,2445,0.29,2.91,NA,NA,NA
"Mexico",2017,3225,22162.2,-0.81,26,42,98,90,12.8,1.4,6.7,0.7,32.7,27.3,15,5.1,1843,2385,0.28,2.7,50,10.2,0.2
"Mexico",2018,3232,22385.2,-0.67,25,43,99,90,12.9,1.4,6.6,0.7,33.3,28.3,15.1,5.2,1846,2390,0.28,2.75,53,10.2,0.2
"Mexico",2019,3270,22131.7,-0.84,11,43,99,91,12.8,1.3,6.7,0.7,34,29.4,15.3,5.3,1849,2394,0.28,2.73,55,10.2,0.2
"Mexico",2020,3271,20070.5,-0.79,11,43,99,91,12.8,1.3,6.7,0.7,34.7,30.3,NA,NA,1852,2398,0.28,2.75,58,10.2,0.2
"Mexico",2021,3278,21123.7,-0.69,9,43,99,92,12.6,1.3,6.8,0.7,35.3,31.3,NA,NA,1855,2402,0.28,2.74,60,NA,NA
"Mexico",2022,3293,21809.6,-0.69,14,43,99,92,12.6,1.2,6.9,0.7,36,32.3,NA,NA,1859,2407,0.28,2.74,62,NA,NA
"Micronesia (Federated States of)",2017,NA,3886.8,1.16,NA,NA,90,90,NA,NA,NA,NA,44.6,0.1,24.3,0.1,1794,2315,0.11,3.02,NA,NA,NA
"Micronesia (Federated States of)",2018,NA,3877.5,1.32,NA,NA,90,90,NA,NA,NA,NA,45.1,0.1,24.6,0.1,1781,2296,0.11,3.02,NA,NA,NA
"Micronesia (Federated States of)",2019,NA,3907.2,1.03,NA,NA,90,90,NA,NA,NA,NA,45.6,0.1,25,0.1,1781,2296,0.11,2.6,NA,NA,NA
"Micronesia (Federated States of)",2020,NA,3774.4,1.12,NA,NA,90,90,NA,NA,NA,NA,46.1,0.1,NA,NA,1782,2297,0.11,2.6,NA,NA,NA
"Micronesia (Federated States of)",2021,NA,3664.5,1.2,NA,NA,NA,NA,NA,NA,NA,NA,46.6,0.1,NA,NA,1777,2290,0.11,2.62,NA,NA,NA
"Micronesia (Federated States of)",2022,NA,3601.3,1.21,NA,NA,NA,NA,NA,NA,NA,NA,47.1,0.1,NA,NA,1780,2296,0.11,2.62,NA,NA,NA
"Mongolia",2017,2660,14647.5,0.78,29,35,80,65,8.4,0.1,10,0.1,20.9,0.4,14.1,0.1,1795,2311,0.24,4.1,62,5.2,0.1
"Mongolia",2018,2853,15443,0.83,52,36,81,66,7.9,0.1,10.1,0.1,21.5,0.4,14.3,0.1,1789,2303,0.24,3.97,63,5.1,0.1
"Mongolia",2019,2858,15962.9,0.64,58,36,81,68,7.4,0.1,10.2,0.1,22.2,0.5,14.5,0.1,1786,2298,0.25,4.1,64,5,0.1
"Mongolia",2020,2949,14949,0.72,58,37,82,69,6.9,0.1,10.3,0.1,22.8,0.5,NA,NA,1785,2296,0.27,4.21,65,4.9,0.1
"Mongolia",2021,3038,14951.1,0.71,58,38,83,70,6.5,0.1,10.5,0.1,23.4,0.5,NA,NA,1788,2299,0.23,3.96,66,NA,NA
"Mongolia",2022,3089,15469.8,0.53,66,39,84,70,6.1,0.1,10.7,0.1,24.1,0.5,NA,NA,1791,2304,0.23,3.96,66,NA,NA
"Montenegro",2017,3451,23294.5,-0.06,27,85,98,97,8.2,0.1,11,0.1,16.3,0.1,16.7,0.1,1904,2468,0.21,2.16,48,6.3,0.1
"Montenegro",2018,3460,24483.1,0.04,26,85,98,97,8.2,0.1,10.1,0.1,16.6,0.1,16.9,0.1,1903,2466,0.21,2.19,50,6.3,0.1
"Montenegro",2019,3464,25486,0.06,23,85,99,98,8.3,0.1,9.4,0.1,16.9,0.1,17.2,0.1,1901,2464,0.21,2.16,52,6.2,0.1
"Montenegro",2020,3482,21609.9,-0.06,14,85,99,98,8.3,0.1,8.8,0.1,17.3,0.1,NA,NA,1902,2465,0.22,2.08,53,6.2,0.1
"Montenegro",2021,3554,24511.3,-0.05,14,85,99,98,8.3,0.1,8.3,0.1,17.6,0.1,NA,NA,1904,2468,0.23,2.12,55,NA,NA
"Montenegro",2022,3581,26166,-0.06,25,85,99,98,8.2,0.1,8,0.1,18,0.1,NA,NA,1905,2470,0.22,2.12,57,NA,NA
"Morocco",2017,3360,8427.7,-0.38,19,72,82,84,14.3,0.5,6.5,0.2,19.2,4.6,29.6,2.8,1840,2379,0.3,2.88,59,15.3,0.1
"Morocco",2018,3412,8587.8,-0.35,22,73,84,85,14.1,0.5,6.1,0.2,19.7,4.8,29.7,2.8,1840,2380,0.3,2.9,59,15.1,0.1
"Morocco",2019,3386,8742.6,-0.35,22,74,85,86,13.8,0.5,5.7,0.2,20.2,5,29.9,2.8,1842,2382,0.31,2.93,60,14.9,0.1
"Morocco",2020,3351,8028.9,-0.36,21,74,86,87,13.4,0.4,5.4,0.2,20.7,5.2,NA,NA,1843,2384,0.33,2.79,61,14.8,0.1
"Morocco",2021,3373,8581.3,-0.4,26,75,87,87,13.1,0.4,5.1,0.2,21.3,5.4,NA,NA,1845,2387,0.36,2.9,61,NA,NA
"Morocco",2022,3332,8599.8,-0.32,22,75,87,88,12.8,0.4,4.9,0.2,21.8,5.6,NA,NA,1847,2390,0.35,2.9,61,NA,NA
"Mozambique",2017,1923,1510.4,-0.92,179,NA,53,31,40.1,1.9,5.3,0.3,7.9,1.1,48.1,3.3,1678,2157,0.29,3.18,NA,17.8,0.2
"Mozambique",2018,2055,1517.6,-0.83,132,NA,55,32,39.3,1.9,5.4,0.3,8.3,1.2,48,3.4,1680,2160,0.29,3.41,NA,17.8,0.2
"Mozambique",2019,2083,1508.6,-0.77,96,NA,58,33,38.5,1.9,5.4,0.3,8.8,1.3,47.9,3.5,1682,2163,0.29,3.37,NA,17.8,0.2
"Mozambique",2020,2143,1447.6,-1.28,114,NA,60,35,37.7,1.9,5.5,0.3,9.2,1.4,NA,NA,1684,2166,0.29,3.22,NA,17.8,0.2
"Mozambique",2021,2169,1440.5,-1.26,131,NA,62,36,37,1.9,5.5,0.3,9.7,1.6,NA,NA,1687,2169,0.28,3.15,NA,NA,NA
"Mozambique",2022,2156,1462.6,-1.29,87,NA,63,37,36.4,2,5.5,0.3,10.3,1.7,NA,NA,1689,2173,0.27,3.15,NA,NA,NA
"Myanmar",2017,2787,5833.7,-1.08,18,53,75,72,27.7,1.2,1.1,0.1,6.2,2.2,41.2,6.1,1796,2321,0.21,3.39,61,12.5,0.1
"Myanmar",2018,2778,6154.9,-1.27,12,54,77,73,27,1.2,1,0.1,6.4,2.3,41.7,6.2,1797,2323,0.21,3.41,61,12.5,0.1
"Myanmar",2019,2774,6513.6,-1.33,21,56,79,73,26.3,1.2,0.9,0.1,6.7,2.5,42.1,6.3,1798,2324,0.21,3.32,61,12.5,0.1
"Myanmar",2020,2825,5881.7,-1.51,23,57,81,74,25.6,1.2,0.9,0.1,6.9,2.6,NA,NA,1800,2326,0.21,2.89,61,12.5,0.1
"Myanmar",2021,2817,5138.9,-2.08,22,57,82,74,24.8,1.1,0.8,0.1,7.2,2.7,NA,NA,1801,2327,0.25,2.89,61,NA,NA
"Myanmar",2022,2809,5308.8,-2.21,25,57,82,74,24.1,1.1,0.8,0.1,7.4,2.8,NA,NA,1802,2329,0.24,2.89,61,NA,NA
"Namibia",2017,2507,12147.4,0.62,33,NA,84,34,19.7,0.1,4.7,0.1,15.3,0.2,24.6,0.2,1788,2310,0.32,3.09,NA,15.6,0.1
"Namibia",2018,2523,12066.2,0.68,32,NA,84,35,19,0.1,4.8,0.1,15.6,0.2,24.8,0.2,1789,2310,0.32,2.98,NA,15.6,0.1
"Namibia",2019,2575,11764.6,0.53,31,NA,85,35,18.3,0.1,5,0.1,15.9,0.2,25.2,0.2,1789,2310,0.32,2.94,NA,15.6,0.1
"Namibia",2020,2574,10627.1,0.51,21,NA,85,35,17.8,0.1,5.1,0.1,16.3,0.2,NA,NA,1790,2310,0.33,2.93,NA,15.6,0.1
"Namibia",2021,2564,10823.2,0.52,16,NA,86,36,17.2,0.1,5.2,0.1,16.6,0.2,NA,NA,1792,2313,0.33,2.91,NA,NA,NA
"Namibia",2022,2490,11474.5,0.56,21,NA,86,36,16.8,0.1,5.3,0.1,17,0.3,NA,NA,1794,2315,0.33,2.91,NA,NA,NA
"Nauru",2017,NA,10328.4,0.93,NA,NA,97,66,17.7,0.1,4.2,0.1,68.7,0.1,29.5,0.1,NA,NA,NA,3.02,NA,NA,NA
"Nauru",2018,NA,10920.2,0.94,NA,NA,97,66,17.1,0.1,4.2,0.1,69,0.1,29.5,0.1,NA,NA,NA,3.02,NA,NA,NA
"Nauru",2019,NA,11619.2,0.79,NA,NA,97,66,16.5,0.1,4.3,0.1,69.2,0.1,29.6,0.1,NA,NA,NA,2.12,NA,NA,NA
"Nauru",2020,NA,11931.6,0.78,NA,NA,NA,66,15.8,0.1,4.4,0.1,69.4,0.1,NA,NA,NA,NA,NA,2.08,NA,NA,NA
"Nauru",2021,NA,12126.6,0.79,NA,NA,NA,66,15.3,0.1,4.5,0.1,69.6,0.1,NA,NA,NA,NA,NA,2.17,NA,NA,NA
"Nauru",2022,NA,12164.9,0.88,NA,NA,NA,NA,14.8,0.1,4.5,0.1,69.9,0.1,NA,NA,NA,NA,NA,2.17,NA,NA,NA
"Nepal",2017,2829,4046.8,-0.58,22,22,89,66,33.2,1,1.5,0.1,5,0.9,35.3,3,1740,2248,0.26,3.06,42,20.1,0.1
"Nepal",2018,2812,4305.9,-0.54,25,21,90,69,31.8,0.9,1.6,0.1,5.3,0.9,35.5,3.1,1744,2253,0.26,3.05,44,20,0.1
"Nepal",2019,2845,4540.7,-0.45,28,19,90,73,30.4,0.9,1.6,0.1,5.7,1,35.7,3.2,1747,2257,0.26,3.12,46,19.8,0.1
"Nepal",2020,2900,4355.1,-0.18,29,18,91,77,29.1,0.9,1.6,0.1,6.1,1.1,NA,NA,1752,2264,0.28,3.11,48,19.7,0.1
"Nepal",2021,2937,4461.5,-0.19,27,16,91,80,27.8,0.8,1.7,0.1,6.6,1.3,NA,NA,1758,2271,0.29,3.1,51,NA,NA
"Nepal",2022,2931,4632.8,-0.25,23,16,91,80,26.7,0.8,1.7,0.1,7,1.4,NA,NA,1762,2276,0.28,3.1,51,NA,NA
"Netherlands (Kingdom of the)",2017,3273,65041.5,0.91,19,99,99,98,1.5,0.1,4.8,0.1,14.1,1.9,12.2,0.5,1981,2579,0.2,2.2,98,5.8,0.1
"Netherlands (Kingdom of the)",2018,3318,66189.4,0.84,21,99,99,98,1.6,0.1,4.9,0.1,14.2,2,12.5,0.5,1981,2580,0.2,2.1,98,5.7,0.1
"Netherlands (Kingdom of the)",2019,3468,67043.2,0.82,19,99,99,98,1.6,0.1,4.9,0.1,14.2,2,12.8,0.5,1981,2580,0.2,2.03,98,5.7,0.1
"Netherlands (Kingdom of the)",2020,3475,64080.8,0.83,58,99,99,98,1.6,0.1,5,0.1,14.3,2,NA,NA,1981,2580,0.2,2.1,98,5.7,0.1
"Netherlands (Kingdom of the)",2021,3464,67693.3,0.89,67,99,99,98,1.6,0.1,5.1,0.1,14.4,2,NA,NA,1980,2580,0.21,2.13,98,NA,NA
"Netherlands (Kingdom of the)",2022,3472,69953.7,0.72,61,99,99,98,1.6,0.1,5.1,0.1,14.5,2.1,NA,NA,1979,2578,0.21,2.13,98,NA,NA
"New Caledonia",2017,2809,NA,NA,6,96,99,99,NA,NA,NA,NA,NA,NA,NA,NA,1811,2339,0.27,2.16,NA,NA,NA
"New Caledonia",2018,2825,NA,NA,8,96,99,99,NA,NA,NA,NA,NA,NA,NA,NA,1812,2340,0.27,2.14,NA,NA,NA
"New Caledonia",2019,2900,NA,NA,8,96,99,99,NA,NA,NA,NA,NA,NA,NA,NA,1811,2339,0.27,2.18,NA,NA,NA
"New Caledonia",2020,2909,NA,NA,22,97,99,99,NA,NA,NA,NA,NA,NA,NA,NA,1812,2341,0.27,2.21,NA,NA,NA
"New Caledonia",2021,2940,NA,NA,23,97,99,99,NA,NA,NA,NA,NA,NA,NA,NA,1814,2343,0.27,2.21,NA,NA,NA
"New Caledonia",2022,2950,NA,NA,25,97,99,99,NA,NA,NA,NA,NA,NA,NA,NA,1812,2341,0.27,2.21,NA,NA,NA
"New Zealand",2017,3229,46530.1,1.56,44,96,99,99,NA,NA,NA,NA,31.5,1.1,9.8,0.1,1916,2486,0.2,2.29,88,5.9,0.1
"New Zealand",2018,3248,47315.2,1.51,38,97,99,99,NA,NA,NA,NA,31.9,1.2,10.1,0.1,1917,2487,0.21,2.32,88,5.9,0.1
"New Zealand",2019,3271,47707.4,1.42,14,98,99,99,NA,NA,NA,NA,32.3,1.2,10.4,0.1,1921,2493,0.21,2.25,88,5.9,0.1
"New Zealand",2020,3288,46361.9,1.47,16,99,99,99,NA,NA,NA,NA,32.7,1.3,NA,NA,1921,2494,0.21,2.1,89,5.9,0.1
"New Zealand",2021,3365,48555.6,1.4,15,99,99,99,NA,NA,NA,NA,33.2,1.3,NA,NA,1922,2495,0.21,2.12,89,NA,NA
