"country","unit","year","total population - both sexes (1000 no)","total population - male (1000 no)","total population - female (1000 no)","rural population (1000 no)","urban population (1000 no)"
"Latvia","1000 No",2022,1881.063,870.579,1010.484,584.768,1273.98
"Lebanon","1000 No",2017,6160.128,3034.435,3125.693,703.805,5378.552
"Lebanon","1000 No",2018,5984.119,2932.212,3051.907,695.098,5398.411
"Lebanon","1000 No",2019,5794.594,2823.127,2971.467,681.91,5384.012
"Lebanon","1000 No",2020,5702.398,2770.02,2932.378,666.679,5353.116
"Lebanon","1000 No",2021,5718.122,2777.715,2940.407,649.747,5307.547
"Lebanon","1000 No",2022,5744.489,2791.093,2953.396,630.865,5244.353
"Lesotho","1000 No",2017,2157.11,1048.725,1108.386,1614.034,619.305
"Lesotho","1000 No",2018,2183.603,1061.89,1121.713,1625.909,637.101
"Lesotho","1000 No",2019,2209.405,1074.706,1134.699,1637.308,655.374
"Lesotho","1000 No",2020,2235.727,1087.804,1147.922,1648.125,674.092
"Lesotho","1000 No",2021,2261.542,1100.677,1160.865,1658.271,693.232
"Lesotho","1000 No",2022,2286.11,1112.982,1173.129,1667.714,712.787
"Liberia","1000 No",2017,4848.925,2415.47,2433.455,2332.953,2398.953
"Liberia","1000 No",2018,4944.726,2464.053,2480.673,2370.874,2482.642
"Liberia","1000 No",2019,5043.721,2514.226,2529.494,2408.447,2569.273
"Liberia","1000 No",2020,5149.463,2567.665,2581.798,2445.292,2658.561
"Liberia","1000 No",2021,5259.323,2623.166,2636.157,2481.436,2750.646
"Liberia","1000 No",2022,5373.294,2680.814,2692.48,2517.04,2845.823
"Libya","1000 No",2017,6738.77,3438.012,3300.758,1286.565,5088.051
"Libya","1000 No",2018,6849.055,3492.96,3356.095,1287.593,5183.363
"Libya","1000 No",2019,6951.033,3542.809,3408.223,1288.13,5281.734
"Libya","1000 No",2020,7045.399,3587.984,3457.415,1286.402,5375.771
"Libya","1000 No",2021,7135.175,3630.945,3504.23,1282.075,5463.598
"Libya","1000 No",2022,7223.805,3673.879,3549.925,1275.753,5547.099
"Liechtenstein","1000 No",2017,37.85,18.77,19.081,32.493,5.429
"Liechtenstein","1000 No",2018,38.129,18.904,19.224,32.685,5.47
"Liechtenstein","1000 No",2019,38.44,19.066,19.374,32.885,5.519
"Liechtenstein","1000 No",2020,38.767,19.234,19.533,33.074,5.571
"Liechtenstein","1000 No",2021,39.044,19.377,19.667,33.26,5.628
"Liechtenstein","1000 No",2022,39.317,19.52,19.797,33.445,5.69
"Lithuania","1000 No",2017,2829.313,1304.959,1524.353,938.898,1951.399
"Lithuania","1000 No",2018,2802.478,1296.652,1505.826,929.713,1946.762
"Lithuania","1000 No",2019,2795.058,1300.161,1494.897,920.766,1943.693
"Lithuania","1000 No",2020,2795.765,1309.124,1486.64,911.492,1940.986
"Lithuania","1000 No",2021,2794.488,1313.587,1480.9,901.73,1938.269
"Lithuania","1000 No",2022,2816.919,1326.195,1490.725,891.571,1935.695
"Luxembourg","1000 No",2017,596.495,299.687,296.808,54.103,529.352
"Luxembourg","1000 No",2018,608.101,305.733,302.368,53.239,537.082
"Luxembourg","1000 No",2019,620.163,311.93,308.233,52.396,544.596
"Luxembourg","1000 No",2020,630.597,317.306,313.291,51.616,552.328
"Luxembourg","1000 No",2021,640.274,322.375,317.899,50.91,560.428
"Luxembourg","1000 No",2022,653.313,328.888,324.425,50.259,568.739
"Madagascar","1000 No",2017,26788.375,13437.209,13351.165,16231.87,9339.025
"Madagascar","1000 No",2018,27494.926,13792.207,13702.719,16495.525,9767.285
"Madagascar","1000 No",2019,28219.554,14156.202,14063.352,16758.613,10211.029
"Madagascar","1000 No",2020,28953.556,14523.993,14429.564,17020.546,10670.252
"Madagascar","1000 No",2021,29691.083,14893.095,14797.988,17281.025,11145.081
"Madagascar","1000 No",2022,30437.26,15266.903,15170.358,17539.783,11635.629
"Malawi","1000 No",2017,18039.715,8786.947,9252.769,15509.514,3112.59
"Malawi","1000 No",2018,18528.081,9027.518,9500.563,15918.795,3245.933
"Malawi","1000 No",2019,19025.752,9272.383,9753.369,16332.17,3386.573
"Malawi","1000 No",2020,19533.888,9522.275,10011.612,16748.855,3534.836
"Malawi","1000 No",2021,20047.258,9774.487,10272.771,17168.11,3691.081
"Malawi","1000 No",2022,20568.728,10030.976,10537.752,17589.674,3855.794
"Malaysia","1000 No",2017,32355.644,16981.623,15374.022,7764.814,23859.45
"Malaysia","1000 No",2018,32910.967,17290.823,15620.144,7678.728,24363.73
"Malaysia","1000 No",2019,33440.596,17586.001,15854.594,7592.143,24862.312
"Malaysia","1000 No",2020,33889.558,17821.825,16067.734,7507.36,25361.963
"Malaysia","1000 No",2021,34282.399,18008.668,16273.73,7424.927,25864.286
"Malaysia","1000 No",2022,34695.493,18204.478,16491.015,7344.151,26366.66
"Maldives","1000 No",2017,458.287,275.68,182.607,264.503,171.827
"Maldives","1000 No",2018,473.099,287.027,186.071,267.408,176.851
"Maldives","1000 No",2019,487.731,298.305,189.425,269.969,181.769
"Maldives","1000 No",2020,502.118,309.481,192.637,272.275,186.634
"Maldives","1000 No",2021,516.154,320.476,195.678,274.338,191.444
"Maldives","1000 No",2022,524.106,326.187,197.92,276.147,196.187
"Mali","1000 No",2017,19813.01,10002.701,9810.309,10833.712,7708.268
"Mali","1000 No",2018,20442.03,10320.131,10121.898,11014.386,8093.32
"Mali","1000 No",2019,21068.405,10636.094,10432.31,11196.104,8493.036
"Mali","1000 No",2020,21713.836,10960.972,10752.863,11377.544,8906.636
"Mali","1000 No",2021,22388.63,11300.445,11088.185,11558.498,9334.086
"Mali","1000 No",2022,23072.64,11644.586,11428.053,11739.437,9775.868
"Malta","1000 No",2017,467.902,236.11,231.792,23.498,407.337
"Malta","1000 No",2018,484.558,246.198,238.359,23.28,408.809
"Malta","1000 No",2019,504.015,258.784,245.232,23.057,410.188
"Malta","1000 No",2020,518.207,268.351,249.856,22.83,411.533
"Malta","1000 No",2021,524.376,272.253,252.123,22.602,412.867
"Malta","1000 No",2022,528.192,274.19,254.001,22.37,414.163
"Marshall Islands","1000 No",2017,46.529,23.851,22.678,12.413,40.714
"Marshall Islands","1000 No",2018,45.285,23.209,22.076,12.212,40.955
"Marshall Islands","1000 No",2019,44.007,22.549,21.457,12.016,41.195
"Marshall Islands","1000 No",2020,42.706,21.877,20.83,11.825,41.426
"Marshall Islands","1000 No",2021,41.367,21.192,20.174,11.637,41.652
"Marshall Islands","1000 No",2022,40.077,20.54,19.538,11.455,41.872
"Martinique","1000 No",2017,371.502,171.483,200.019,42.271,342.625
"Martinique","1000 No",2018,364.089,167.499,196.591,42.167,342.898
"Martinique","1000 No",2019,359.611,164.793,194.818,42.038,343.282
"Martinique","1000 No",2020,356.615,162.997,193.618,41.862,343.595
"Martinique","1000 No",2021,353.278,161.195,192.083,41.633,343.798
"Martinique","1000 No",2022,349.459,159.071,190.388,41.36,343.934
"Mauritania","1000 No",2017,4210.6,2054.796,2155.804,2085.278,2334.906
"Mauritania","1000 No",2018,4337.685,2118.539,2219.146,2103.324,2436.744
"Mauritania","1000 No",2019,4467.708,2183.789,2283.919,2120.517,2540.632
"Mauritania","1000 No",2020,4600.131,2250.118,2350.013,2137.053,2646.714
"Mauritania","1000 No",2021,4734.874,2317.615,2417.26,2152.965,2754.946
"Mauritania","1000 No",2022,4875.637,2388.274,2487.363,2168.207,2865.171
"Mauritius","1000 No",2017,1290.655,647.704,642.951,748.44,516.698
"Mauritius","1000 No",2018,1288.833,646.826,642.008,750.928,517.387
"Mauritius","1000 No",2019,1286.27,645.489,640.782,753.079,518.289
"Mauritius","1000 No",2020,1283.223,643.778,639.446,754.784,519.33
"Mauritius","1000 No",2021,1279.623,641.607,638.016,755.995,520.48
"Mauritius","1000 No",2022,1276.13,638.999,637.13,756.756,521.772
"Mayotte","1000 No",2017,265.164,124.609,140.555,135.644,117.401
"Mayotte","1000 No",2018,269.69,127.725,141.964,139.845,119.837
"Mayotte","1000 No",2019,274.911,131.065,143.846,144.023,122.357
"Mayotte","1000 No",2020,284.37,135.589,148.781,148.158,124.952
"Mayotte","1000 No",2021,294.421,140.392,154.03,152.244,127.63
"Mayotte","1000 No",2022,305.269,145.575,159.694,156.285,130.404
"Mexico","1000 No",2017,123400.057,60107.325,63292.732,26004.525,103158.751
"Mexico","1000 No",2018,124573.711,60641.037,63932.674,25947.576,104811.498
"Mexico","1000 No",2019,125762.983,61184.489,64578.493,25877.808,106450.227
"Mexico","1000 No",2020,126799.055,61635.476,65163.579,25795.617,108074.41
"Mexico","1000 No",2021,127648.148,61979.793,65668.355,25701.273,109682.937
"Mexico","1000 No",2022,128613.117,62401.721,66211.396,25594.922,111274.113
"Micronesia (Federated States of)","1000 No",2017,109.481,54.507,54.974,81.683,23.861
"Micronesia (Federated States of)","1000 No",2018,109.909,54.71,55.2,82.11,24.117
"Micronesia (Federated States of)","1000 No",2019,110.282,54.888,55.395,82.578,24.405
"Micronesia (Federated States of)","1000 No",2020,110.916,55.187,55.73,83.058,24.716
"Micronesia (Federated States of)","1000 No",2021,111.624,55.517,56.108,83.555,25.054
"Micronesia (Federated States of)","1000 No",2022,112.114,55.739,56.374,84.055,25.416
"Monaco","1000 No",2017,37.678,18.456,19.221,0,38.695
"Monaco","1000 No",2018,38.154,18.695,19.459,0,38.897
"Monaco","1000 No",2019,38.109,18.661,19.448,0,39.102
"Monaco","1000 No",2020,38.05,18.624,19.427,0,39.297
"Monaco","1000 No",2021,38.527,18.875,19.652,0,39.495
"Monaco","1000 No",2022,38.931,19.072,19.86,0,39.684
"Mongolia","1000 No",2017,3104.364,1544.336,1560.028,973.037,2102.61
"Mongolia","1000 No",2018,3167.706,1579.375,1588.331,985.062,2136.71
"Mongolia","1000 No",2019,3232.113,1615.387,1616.726,995.997,2170.247
"Mongolia","1000 No",2020,3290.785,1645.93,1644.855,1005.935,2203.469
"Mongolia","1000 No",2021,3339.674,1668.932,1670.742,1014.831,2236.315
"Mongolia","1000 No",2022,3386.015,1690.745,1695.27,1022.605,2268.638
"Montenegro","1000 No",2017,620.114,298.772,321.341,210.847,418.113
"Montenegro","1000 No",2018,615.795,296.676,319.118,208.816,420.403
"Montenegro","1000 No",2019,611.667,294.65,317.017,206.74,422.615
"Montenegro","1000 No",2020,607.935,292.705,315.229,204.63,424.767
"Montenegro","1000 No",2021,603.851,290.572,313.278,202.483,426.85
"Montenegro","1000 No",2022,614.648,295.724,318.924,200.301,428.86
"Montserrat","1000 No",2017,4.603,2.346,2.256,4.709,0.468
"Montserrat","1000 No",2018,4.569,2.321,2.248,4.731,0.472
"Montserrat","1000 No",2019,4.54,2.296,2.244,4.746,0.474
"Montserrat","1000 No",2020,4.508,2.267,2.241,4.765,0.478
"Montserrat","1000 No",2021,4.479,2.245,2.235,4.786,0.482
"Montserrat","1000 No",2022,4.453,2.228,2.225,4.799,0.486
"Morocco","1000 No",2017,35446.392,17888.07,17558.322,13613.878,22125.702
"Morocco","1000 No",2018,35839.76,18091.27,17748.489,13589.062,22602.743
"Morocco","1000 No",2019,36210.898,18284.521,17926.376,13557.256,23077.9
"Morocco","1000 No",2020,36584.208,18471.768,18112.44,13519.119,23551.599
"Morocco","1000 No",2021,36954.442,18653.397,18301.045,13474.542,24022.96
"Morocco","1000 No",2022,37329.064,18837.518,18491.546,13423.201,24490.652
"Mozambique","1000 No",2017,28166.393,13603.724,14562.67,19149.788,10519.046
"Mozambique","1000 No",2018,29018.644,14025.748,14992.896,19542.053,10986.62
"Mozambique","1000 No",2019,29884.38,14452.298,15432.083,19935.885,11472.938
"Mozambique","1000 No",2020,30783.688,14896.433,15887.255,20330.756,11978.439
"Mozambique","1000 No",2021,31707.8,15354.329,16353.47,20726.122,12503.542
"Mozambique","1000 No",2022,32656.246,15823.809,16832.437,21121.577,13048.749
"Myanmar","1000 No",2017,51894.938,25890.574,26004.363,37187.526,16183.083
"Myanmar","1000 No",2018,52272.247,26073.322,26198.925,37387.374,16468.361
"Myanmar","1000 No",2019,52640.713,26251.303,26389.411,37572.512,16763.626
"Myanmar","1000 No",2020,53016.522,26431.199,26585.322,37740.21,17068.066
"Myanmar","1000 No",2021,53387.102,26606.252,26780.85,37888.296,17381.064
"Myanmar","1000 No",2022,53756.787,26779.327,26977.461,38015.842,17702.521
"Namibia","1000 No",2017,2506.853,1219.487,1287.366,1292.108,1241.686
"Namibia","1000 No",2018,2577.327,1254.913,1322.414,1293.06,1294.741
"Namibia","1000 No",2019,2650.494,1291.528,1358.966,1293.462,1348.534
"Namibia","1000 No",2020,2728.762,1330.536,1398.226,1293.438,1403.099
"Namibia","1000 No",2021,2810.548,1371.399,1439.149,1292.95,1458.3
"Namibia","1000 No",2022,2889.662,1410.918,1478.744,1291.955,1513.974
"Nauru","1000 No",2017,11.324,5.792,5.532,0,11.359
"Nauru","1000 No",2018,11.477,5.875,5.603,0,11.312
"Nauru","1000 No",2019,11.587,5.927,5.66,0,11.26
"Nauru","1000 No",2020,11.643,5.94,5.703,0,11.227
"Nauru","1000 No",2021,11.709,5.963,5.745,0,11.222
"Nauru","1000 No",2022,11.801,6.01,5.791,0,11.232
"Nepal","1000 No",2017,28011.258,13429.657,14581.601,23638.57,5666.428
"Nepal","1000 No",2018,28079.689,13419.158,14660.531,23776.364,5847.671
"Nepal","1000 No",2019,28414.064,13600.682,14813.382,23907.871,6034.147
"Nepal","1000 No",2020,28966.574,13942.564,15024.011,24034.011,6226.233
"Nepal","1000 No",2021,29475.01,14240.049,15234.961,24154.442,6423.994
"Nepal","1000 No",2022,29715.436,14345.261,15370.175,24267.699,6627.181
"Netherlands (Kingdom of the)","1000 No",2017,17315.37,8579.849,8735.521,1520.119,15515.819
"Netherlands (Kingdom of the)","1000 No",2018,17421.28,8635.897,8785.383,1453.872,15630.587
"Netherlands (Kingdom of the)","1000 No",2019,17537.507,8698.228,8839.279,1391.913,15740.995
"Netherlands (Kingdom of the)","1000 No",2020,17636.731,8751.393,8885.338,1333.967,15847.281
"Netherlands (Kingdom of the)","1000 No",2021,17730.564,8800.731,8929.832,1279.787,15949.752
"Netherlands (Kingdom of the)","1000 No",2022,17904.421,8890.013,9014.408,1229.122,16048.486
"Netherlands Antilles (former)","1000 No",2017,NA,NA,NA,NA,NA
"Netherlands Antilles (former)","1000 No",2018,NA,NA,NA,NA,NA
"Netherlands Antilles (former)","1000 No",2019,NA,NA,NA,NA,NA
"Netherlands Antilles (former)","1000 No",2020,NA,NA,NA,NA,NA
"Netherlands Antilles (former)","1000 No",2021,NA,NA,NA,NA,NA
"Netherlands Antilles (former)","1000 No",2022,NA,NA,NA,NA,NA
"New Caledonia","1000 No",2017,283.546,140.922,142.625,82.17,194.085
"New Caledonia","1000 No",2018,283.541,140.624,142.917,82.034,197.787
"New Caledonia","1000 No",2019,283.606,140.357,143.25,81.884,201.492
"New Caledonia","1000 No",2020,284.176,140.422,143.755,81.718,205.195
"New Caledonia","1000 No",2021,285.214,140.756,144.458,81.536,208.889
"New Caledonia","1000 No",2022,287.123,141.591,145.532,81.343,212.585
"New Zealand","1000 No",2017,4812.752,2382.153,2430.599,636.894,4068.924
"New Zealand","1000 No",2018,4900.847,2429.767,2471.081,639.408,4110.19
"New Zealand","1000 No",2019,4989.403,2476.011,2513.392,641.441,4150.968
"New Zealand","1000 No",2020,5069.895,2516.752,2553.143,643.015,4191.405
"New Zealand","1000 No",2021,5107.697,2535.675,2572.021,644.125,4231.472
"New Zealand","1000 No",2022,5131.734,2548.325,2583.41,644.763,4271.104
"Nicaragua","1000 No",2017,6316.231,3104.61,3211.622,2592.801,3624.78
"Nicaragua","1000 No",2018,6400.08,3146.392,3253.689,2606.772,3677.985
"Nicaragua","1000 No",2019,6483.657,3187.963,3295.693,2619.224,3731.933
"Nicaragua","1000 No",2020,6565.267,3227.997,3337.269,2630.055,3786.513
"Nicaragua","1000 No",2021,6644.741,3266.527,3378.214,2639.178,3841.629
"Nicaragua","1000 No",2022,6730.654,3309.012,3421.642,2646.626,3897.35
"Niger","1000 No",2017,21435.446,10881.388,10554.059,17965.903,3511.445
"Niger","1000 No",2018,22188.069,11264.311,10923.757,18646.683,3664.692
"Niger","1000 No",2019,22947.758,11650.754,11297.004,19348.533,3828.158
"Niger","1000 No",2020,23717.613,12041.757,11675.856,20072.055,4002.638
"Niger","1000 No",2021,24502.14,12439.986,12062.154,20817.293,4188.876
"Niger","1000 No",2022,25311.973,12851.424,12460.549,21584.001,4387.629
"Nigeria","1000 No",2017,200254.579,101058.467,99196.111,96361.295,94525.016
"Nigeria","1000 No",2018,204938.755,103458.568,101480.187,97264.436,98610.801
"Nigeria","1000 No",2019,209485.641,105789.799,103695.842,98156.422,102805.995
"Nigeria","1000 No",2020,213996.181,108098.757,105897.424,99040.175,107112.526
"Nigeria","1000 No",2021,218529.287,110418.03,108111.257,99916.581,111530.092
"Nigeria","1000 No",2022,223150.896,112784.704,110366.192,100786.283,116057.853
"Niue","1000 No",2017,1.78,0.849,0.931,0.905,0.713
"Niue","1000 No",2018,1.786,0.856,0.93,0.897,0.727
"Niue","1000 No",2019,1.793,0.859,0.934,0.887,0.741
"Niue","1000 No",2020,1.799,0.862,0.937,0.878,0.754
"Niue","1000 No",2021,1.813,0.871,0.943,0.864,0.762
"Niue","1000 No",2022,1.821,0.876,0.946,0.857,0.777
"North Macedonia","1000 No",2017,1940.879,949.78,991.098,880.172,1202.988
"North Macedonia","1000 No",2018,1919.728,938.083,981.645,876.488,1208.563
"North Macedonia","1000 No",2019,1897.641,925.908,971.733,872.081,1214.639
"North Macedonia","1000 No",2020,1872.015,911.753,960.263,866.902,1221.133
"North Macedonia","1000 No",2021,1851.108,900.519,950.589,860.943,1228.012
"North Macedonia","1000 No",2022,1840.233,895.013,945.221,854.209,1235.263
"Northern Mariana Islands","1000 No",2017,49.959,26.131,23.828,4.671,50.473
"Northern Mariana Islands","1000 No",2018,49.077,25.717,23.36,4.626,50.568
"Northern Mariana Islands","1000 No",2019,48.129,25.27,22.858,4.581,50.665
"Northern Mariana Islands","1000 No",2020,47.528,24.988,22.541,4.539,50.808
"Northern Mariana Islands","1000 No",2021,46.979,24.717,22.262,4.499,50.972
"Northern Mariana Islands","1000 No",2022,46.078,24.266,21.812,4.459,51.163
"Norway","1000 No",2017,5276.802,2658.717,2618.086,961.814,4343.569
"Norway","1000 No",2018,5311.752,2676.697,2635.056,950.323,4403.04
"Norway","1000 No",2019,5347.73,2695.741,2651.99,938.907,4462.009
"Norway","1000 No",2020,5379.274,2712.785,2666.488,927.855,4521.838
"Norway","1000 No",2021,5408.091,2728.195,2679.896,917.223,4582.847
"Norway","1000 No",2022,5456.801,2751.263,2705.539,906.907,4644.576
"Oman","1000 No",2017,4537.396,2963.048,1574.349,762.22,3874.042
"Oman","1000 No",2018,4597.877,2978.778,1619.1,746.74,4083.206
"Oman","1000 No",2019,4591.241,2922.482,1668.759,728.113,4273.762
"Oman","1000 No",2020,4522.497,2808.74,1713.756,706.73,4442.97
"Oman","1000 No",2021,4500.424,2750.964,1749.46,682.83,4587.397
"Oman","1000 No",2022,4730.226,2911.7,1818.526,657.14,4707.282
"Pacific Islands Trust Territory","1000 No",2017,NA,NA,NA,NA,NA
"Pacific Islands Trust Territory","1000 No",2018,NA,NA,NA,NA,NA
"Pacific Islands Trust Territory","1000 No",2019,NA,NA,NA,NA,NA
"Pacific Islands Trust Territory","1000 No",2020,NA,NA,NA,NA,NA
"Pacific Islands Trust Territory","1000 No",2021,NA,NA,NA,NA,NA
"Pacific Islands Trust Territory","1000 No",2022,NA,NA,NA,NA,NA
"Pakistan","1000 No",2017,223273.967,114147.375,109126.592,125220.255,71795.7
"Pakistan","1000 No",2018,226928.892,115958.87,110970.023,127183.388,73630.43
"Pakistan","1000 No",2019,230800.899,117879.702,112921.196,129085.803,75510.639
"Pakistan","1000 No",2020,235001.746,119954.02,115047.726,130924.605,77437.729
"Pakistan","1000 No",2021,239477.801,122119.348,117358.452,132695.039,79411.956
"Pakistan","1000 No",2022,243700.667,124068.4,119632.267,134391.306,81432.849
"Palau","1000 No",2017,17.812,9.572,8.24,4.484,17.245
"Palau","1000 No",2018,17.814,9.598,8.216,4.408,17.556
"Palau","1000 No",2019,17.798,9.614,8.184,4.337,17.869
"Palau","1000 No",2020,17.792,9.616,8.176,4.267,18.175
"Palau","1000 No",2021,17.783,9.601,8.182,4.2,18.482
"Palau","1000 No",2022,17.759,9.579,8.18,4.137,18.79
"Palestine","1000 No",2017,4742.743,2352.597,2390.146,1186.188,3734.536
"Palestine","1000 No",2018,4850.592,2407.501,2443.091,1204.356,3848.42
"Palestine","1000 No",2019,4957.768,2462.006,2495.762,1222.03,3964.76
"Palestine","1000 No",2020,5069.692,2518.724,2550.968,1239.153,4083.476
"Palestine","1000 No",2021,5185.336,2577.131,2608.204,1255.674,4204.483
"Palestine","1000 No",2022,5305.27,2637.767,2667.503,1271.521,4327.618
"Panama","1000 No",2017,4098.707,2052.516,2046.191,1337.579,2761.008
"Panama","1000 No",2018,4167.86,2086.965,2080.896,1344.157,2818.461
"Panama","1000 No",2019,4234.7,2120.143,2114.557,1349.902,2876.295
"Panama","1000 No",2020,4293.261,2148.782,2144.479,1354.818,2934.512
"Panama","1000 No",2021,4345.405,2174.004,2171.401,1358.886,2993.059
"Panama","1000 No",2022,4400.773,2201.198,2199.575,1362.091,3051.878
"Papua New Guinea","1000 No",2017,9178.714,4750.876,4427.838,7170.073,1081.089
"Papua New Guinea","1000 No",2018,9394.513,4858.798,4535.715,7309.758,1108.588
"Papua New Guinea","1000 No",2019,9609.01,4965.821,4643.189,7448.841,1137.684
"Papua New Guinea","1000 No",2020,9815.746,5067.943,4747.803,7587.206,1168.469
"Papua New Guinea","1000 No",2021,10012.896,5164.383,4848.513,7724.734,1201.039
"Papua New Guinea","1000 No",2022,10203.169,5257.154,4946.016,7861.27,1235.492
"Paraguay","1000 No",2017,6338.66,3187.584,3151.077,2635.972,4175.325
"Paraguay","1000 No",2018,6427.382,3230.943,3196.439,2649.475,4247.433
"Paraguay","1000 No",2019,6515.058,3273.78,3241.278,2661.61,4320.371
"Paraguay","1000 No",2020,6603.739,3316.875,3286.865,2672.298,4394.032
"Paraguay","1000 No",2021,6684.182,3355.14,3329.042,2681.496,4468.355
"Paraguay","1000 No",2022,6760.464,3391.532,3368.932,2689.153,4543.267
"Peru","1000 No",2017,31324.637,15621.908,15702.728,7166.47,24999.015
"Peru","1000 No",2018,31897.584,15903.762,15993.822,7191.715,25360.1
"Peru","1000 No",2019,32449.303,16174.853,16274.451,7212.742,25721.093
"Peru","1000 No",2020,32838.579,16356.574,16482.005,7229.699,26082.479
"Peru","1000 No",2021,33155.882,16498.081,16657.801,7242.484,26443.821
"Peru","1000 No",2022,33475.438,16651.798,16823.641,7250.911,26804.348
"Philippines","1000 No",2017,108119.693,54120.287,53999.406,55939.801,48978.289
"Philippines","1000 No",2018,109465.287,54710.322,54754.964,56550.096,49961.978
"Philippines","1000 No",2019,110804.683,55297.777,55506.906,57134.902,50971.408
"Philippines","1000 No",2020,112081.264,55905.489,56175.775,57694.793,52008.603
"Philippines","1000 No",2021,113100.95,56419.691,56681.259,58228.684,53074.112
"Philippines","1000 No",2022,113964.339,56849.247,57115.092,58734.25,54167.314
"Poland","1000 No",2017,38254.959,18554.725,19700.233,15228.329,22942.383
"Poland","1000 No",2018,38241.07,18551.882,19689.188,15219.933,22884.899
"Poland","1000 No",2019,38225.885,18548.609,19677.276,15197.181,22831.097
"Poland","1000 No",2020,38171.012,18518.782,19652.231,15160.592,22781.639
"Poland","1000 No",2021,38040.302,18443.925,19596.376,15110.211,22736.411
"Poland","1000 No",2022,38385.739,18604.014,19781.726,15046.012,22695.137
"Portugal","1000 No",2017,10330.844,4901.811,5429.033,3651.305,6678.201
"Portugal","1000 No",2018,10325.353,4896.701,5428.652,3580.203,6710.993
"Portugal","1000 No",2019,10343.213,4907.051,5436.163,3510.812,6743.854
"Portugal","1000 No",2020,10370.519,4926.734,5443.784,3442.606,6775.807
"Portugal","1000 No",2021,10390.956,4944.983,5445.973,3375.656,6806.983
"Portugal","1000 No",2022,10417.073,4962.474,5454.599,3310.217,6837.902
"Puerto Rico","1000 No",2017,3371.874,1600.828,1771.045,234.919,3428.212
"Puerto Rico","1000 No",2018,3290.068,1558.686,1731.382,234.967,3424.04
"Puerto Rico","1000 No",2019,3288.028,1555.932,1732.096,234.782,3420.196
"Puerto Rico","1000 No",2020,3275.805,1548.14,1727.665,234.336,3416.272
"Puerto Rico","1000 No",2021,3253.21,1535.552,1717.658,233.618,3412.101
"Puerto Rico","1000 No",2022,3240.968,1528.276,1712.693,232.637,3407.753
"Qatar","1000 No",2017,2706.709,2028.94,677.769,24.338,2614.873
"Qatar","1000 No",2018,2761.142,2051.715,709.427,23.303,2671.546
"Qatar","1000 No",2019,2797.921,2050.573,747.347,22.293,2721.608
"Qatar","1000 No",2020,2803.375,2021.502,781.874,21.355,2770.452
"Qatar","1000 No",2021,2814.982,2021.785,793.197,20.497,2819.901
"Qatar","1000 No",2022,2892.455,2078.144,814.311,19.707,2869.229
"Republic of Korea","1000 No",2017,51486.27,25775.545,25710.726,9429.948,41552.264
"Republic of Korea","1000 No",2018,51640.894,25836.216,25804.678,9486.209,41678.226
"Republic of Korea","1000 No",2019,51767.846,25882.76,25885.087,9533.863,41805.375
"Republic of Korea","1000 No",2020,51858.482,25903.431,25955.05,9572.865,41934.11
"Republic of Korea","1000 No",2021,51848.397,25876.232,25972.166,9602.94,42063.715
"Republic of Korea","1000 No",2022,51782.512,25840.655,25941.857,9623.822,42193.408
"Republic of Moldova","1000 No",2017,3193.497,1478.175,1715.323,2327.145,1724.067
"Republic of Moldova","1000 No",2018,3153.773,1458.062,1695.711,2318.419,1722.646
"Republic of Moldova","1000 No",2019,3112.562,1437.365,1675.197,2308.002,1721.748
"Republic of Moldova","1000 No",2020,3069.131,1415.534,1653.597,2296.147,1721.54
"Republic of Moldova","1000 No",2021,3023.778,1393.129,1630.65,2282.838,1721.993
"Republic of Moldova","1000 No",2022,3039.985,1399.594,1640.39,2267.969,1723.006
"R̩union","1000 No",2017,858.754,410.401,448.353,4.36,872.202
"R̩union","1000 No",2018,856.942,409.781,447.161,3.848,879.399
"R̩union","1000 No",2019,857.327,407.837,449.491,3.418,886.5
"R̩union","1000 No",2020,861.446,409.054,452.392,3.055,893.481
"R̩union","1000 No",2021,868.079,412.553,455.526,2.748,900.334
"R̩union","1000 No",2022,871.54,414.375,457.166,2.488,907.082
"Romania","1000 No",2017,19689.402,9525.743,10163.659,9065.003,10614.303
"Romania","1000 No",2018,19597.872,9485.968,10111.904,9007.536,10573.098
"Romania","1000 No",2019,19501.542,9444.048,10057.494,8946.041,10537.319
"Romania","1000 No",2020,19392.469,9395.409,9997.059,8880.997,10507.365
"Romania","1000 No",2021,19248.161,9324.761,9923.4,8812.219,10482.858
"Romania","1000 No",2022,19166.772,9283.331,9883.442,8739.305,10463.159
"Russian Federation","1000 No",2017,146186.799,67845.06,78341.739,37017.128,106972.626
"Russian Federation","1000 No",2018,146430.146,67986.42,78443.725,36807.854,107156.855
"Russian Federation","1000 No",2019,146533.067,68044.183,78488.883,36568.45,107327.101
"Russian Federation","1000 No",2020,146371.299,67975.285,78396.013,36300.573,107486.269
"Russian Federation","1000 No",2021,145836.175,67747.121,78089.053,36004.318,107632.491
"Russian Federation","1000 No",2022,145579.899,67630.48,77949.419,35679.4,107762.468
"Rwanda","1000 No",2017,12202.06,5925.368,6276.693,10117.663,2090.744
