"country","year","energy_supply","protein_supply","fat_supply","carbohydrate_supply","dietary_fibre_supply","calcium_supply","iron_supply","zinc_supply","magnesium_supply","phosphorus_supply","potassium_supply","thiamin_supply","riboflavin_supply","vitamin_c_supply","vitamin_a_supply_retinol_equivalents","vitamin_a_supply_retinol_activity_equivalents","copper_supply","docosahexaenoic_acid_supply","vitamin_b6_supply","eicosapentaenoic_acid_supply","selenium_supply","vitamin_b12_supply","total_saturated_fatty_acids_supply","total_monounsaturated_fatty_acids_supply","total_polyunsaturated_fatty_acids_supply"
"Belarus",2020,3334,113.9,130.2,372.6,37.1,1229,19.1,14.82,501,2088,5428,2.22,2.53,207,1714,1288,0.02,0.08,0.05,0.05,7,0.62,0.22,0.29,0.2
"Belarus",2021,3300,110.2,126.9,375.3,36.8,1162,18.9,14.38,488,1996,5322,2.15,2.42,206,1691,1263,0.02,0.08,0.05,0.05,7,0.62,0.22,0.29,0.2
"Belarus",2022,3330,112.5,130.2,372.2,36.2,1163,19.1,14.69,491,2020,5387,2.15,2.45,214,1828,1370,0.02,0.08,0.05,0.05,7,0.62,0.22,0.29,0.2
"Belgium",2017,3792,99.5,171.9,416.7,27.5,1243,14.7,12.73,414,1769,4015,1.67,2.08,140,1781,1333,0.04,0.12,0.07,0.07,11,1.17,0.35,0.55,0.48
"Belgium",2018,3800,100.2,168.8,423.2,28.5,1184,15.6,12.9,422,1746,4037,1.73,2.11,159,1832,1397,0.05,0.12,0.08,0.07,12,1.21,0.35,0.55,0.48
"Belgium",2019,3849,106.4,177.8,410.1,29.8,1273,16.8,13.75,441,1851,4384,1.77,2.28,155,2277,1748,0.05,0.13,0.08,0.07,12,1.24,0.36,0.58,0.49
"Belgium",2020,3859,110.3,184.5,396.5,29.7,1336,17.4,14.3,446,1927,4445,1.8,2.36,155,2189,1701,0.05,0.13,0.08,0.07,12,1.24,0.36,0.58,0.49
"Belgium",2021,3898,113.7,180,410.9,32.5,1371,19.1,14.97,462,1991,4730,1.88,2.48,180,2657,2005,0.05,0.13,0.08,0.07,12,1.24,0.36,0.58,0.49
"Belgium",2022,3910,116.4,186.5,398.7,30.3,1435,18.7,14.93,456,2056,4692,1.84,2.66,152,2596,2046,0.05,0.13,0.08,0.07,12,1.24,0.36,0.58,0.49
"Belize",2017,2767,77.2,94.2,374,25.6,646,13.4,10.09,372,1419,2584,1.61,1.27,62,648,496,0.06,0.07,0.05,0.04,9,1.62,0.18,0.23,0.19
"Belize",2018,2770,76.5,94.3,370.6,25.4,649,13.5,10.08,371,1405,2603,1.62,1.43,73,647,508,0.07,0.06,0.04,0.04,8,1.72,0.16,0.19,0.18
"Belize",2019,2811,80.1,97.4,369.5,27.4,635,13.7,10.32,391,1455,2710,1.67,1.25,52,651,519,0.07,0.08,0.05,0.05,9,1.87,0.2,0.25,0.21
"Belize",2020,2839,78.6,105.8,360.4,26.8,661,14.1,10.3,376,1445,2566,1.65,1.29,57,738,587,0.07,0.08,0.05,0.05,9,1.87,0.2,0.25,0.21
"Belize",2021,2802,81.4,105.1,351.7,27.1,721,14.5,10.47,398,1510,2812,1.71,1.38,55,738,579,0.07,0.08,0.05,0.05,9,1.87,0.2,0.25,0.21
"Belize",2022,2816,85,101.3,358.3,28.9,706,15.3,10.97,424,1556,2937,1.78,1.39,48,651,512,0.07,0.08,0.05,0.05,9,1.87,0.2,0.25,0.21
"Benin",2017,2641,66.6,50.5,443.2,51.8,454,16.8,12.51,507,1276,4641,1.93,0.95,229,938,521,0.02,0.11,0.07,0.06,9,1.03,0.31,0.48,0.29
"Benin",2018,2633,65.2,50.6,442.7,51.2,457,16.8,12.3,498,1238,4558,1.89,0.95,223,961,527,0.02,0.11,0.07,0.06,9,1.17,0.29,0.39,0.26
"Benin",2019,2686,68.9,55.7,440.3,53.6,471,18.3,12.58,502,1249,4884,1.9,1.03,229,1054,573,0.02,0.13,0.08,0.07,10,1.41,0.33,0.44,0.3
"Benin",2020,2725,68,57.6,446.2,53.9,464,18.5,12.62,499,1241,4855,1.88,1.06,227,1133,615,0.02,0.12,0.08,0.07,10,1.39,0.32,0.43,0.3
"Benin",2021,2773,71,62.2,444,55.8,489,19.6,13.15,525,1295,5065,1.96,1.16,236,1300,706,0.02,0.12,0.07,0.07,10,1.32,0.31,0.42,0.29
"Benin",2022,2787,72.6,66,437.6,56.1,500,19.9,13.38,533,1319,5122,1.99,1.16,234,1267,691,0.02,0.12,0.07,0.07,10,1.32,0.31,0.42,0.29
"Bhutan",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bhutan",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bhutan",2019,3224,75,86.7,503.6,37.6,639,20.9,13.38,491,1620,2948,1.67,1.25,115,733,498,0.01,0.06,0.02,0.04,3,0.58,0.16,0.28,0.16
"Bhutan",2020,3246,78.2,80.2,518.7,41.4,764,22.5,13.8,531,1711,3310,1.79,1.38,136,841,528,0.01,0.05,0.02,0.03,3,0.5,0.15,0.25,0.15
"Bhutan",2021,3229,76.3,86.2,510.7,38.2,696,21.7,13.36,501,1645,2974,1.72,1.29,89,541,373,0.01,0.06,0.03,0.04,3,0.56,0.16,0.28,0.16
"Bhutan",2022,3215,76.9,82.6,513.6,39.4,666,21.7,13.45,500,1638,2966,1.75,1.26,94,552,394,0.01,0.06,0.03,0.04,3,0.56,0.16,0.28,0.16
"Bolivia (Plurinational State of)",2017,2361,79.9,60.8,351.2,27.9,390,13.3,10.8,354,1267,3100,1.42,1.1,112,716,577,0,0.02,0.01,0.01,2,0.18,0.06,0.09,0.06
"Bolivia (Plurinational State of)",2018,2393,79.6,62,356.5,28.5,397,13.5,10.91,363,1282,3128,1.44,1.12,113,732,589,0,0.02,0.01,0.01,1,0.16,0.05,0.08,0.05
"Bolivia (Plurinational State of)",2019,2419,80.7,62.7,360.1,29.5,391,13.8,11.08,375,1307,3434,1.49,1.14,124,749,605,0,0.02,0.01,0.01,2,0.19,0.06,0.1,0.07
"Bolivia (Plurinational State of)",2020,2380,79.6,57.9,362.9,29.3,389,13.7,10.93,369,1292,3408,1.48,1.14,124,728,586,0,0.02,0.01,0.01,2,0.19,0.06,0.09,0.07
"Bolivia (Plurinational State of)",2021,2360,80.2,56.7,360.5,28.7,371,13.2,10.76,358,1262,3186,1.45,1.1,113,733,586,0,0.02,0.01,0.01,1,0.15,0.05,0.07,0.05
"Bolivia (Plurinational State of)",2022,2331,79.1,56.5,355.1,27.7,372,12.9,10.61,347,1242,3073,1.42,1.08,109,708,556,0,0.02,0.01,0.01,1,0.15,0.05,0.07,0.05
"Bosnia and Herzegovina",2017,3294,105.9,92.6,448.3,54.4,1498,27.2,15.38,674,2013,5868,2.3,2.54,278,2823,1647,0.01,0.04,0.03,0.03,4,0.38,0.12,0.18,0.16
"Bosnia and Herzegovina",2018,3325,108.3,88,462.6,56.8,1549,27.9,15.63,694,2061,6135,2.33,2.59,290,2853,1648,0.01,0.05,0.03,0.03,4,0.42,0.14,0.21,0.18
"Bosnia and Herzegovina",2019,3342,109.4,95.8,446.8,55.5,1554,27.7,15.71,686,2062,6091,2.3,2.62,292,2883,1677,0.01,0.06,0.03,0.04,5,0.5,0.16,0.24,0.22
"Bosnia and Herzegovina",2020,3367,108.4,92.1,463.7,58.1,1517,28.4,15.75,704,2042,6351,2.35,2.58,309,2941,1699,0.01,0.05,0.03,0.03,4,0.4,0.13,0.19,0.17
"Bosnia and Herzegovina",2021,3349,108.4,92.7,456.3,57.7,1477,28.7,15.86,706,2021,6290,2.36,2.52,304,2975,1710,0.01,0.05,0.03,0.03,4,0.42,0.13,0.19,0.17
"Bosnia and Herzegovina",2022,3368,109.1,92.4,464.1,57.3,1540,28.3,15.68,695,2047,6255,2.34,2.62,271,2991,1729,0.01,0.05,0.03,0.03,4,0.42,0.13,0.19,0.17
"Botswana",2017,2551,65.6,65.3,379,28.6,788,15.8,9.52,411,1436,2747,1.5,1.59,97,744,566,0,0.02,0.01,0.02,2,0.19,0.07,0.1,0.11
"Botswana",2018,2532,66.6,67.7,369.2,27.6,890,15.6,9.61,408,1491,2818,1.52,1.7,97,709,535,0,0.02,0.01,0.01,2,0.16,0.06,0.09,0.09
"Botswana",2019,2577,67.5,67.6,376.1,28.7,845,16.3,9.85,417,1497,2822,1.55,1.67,93,764,574,0,0.02,0.01,0.01,2,0.17,0.06,0.09,0.1
"Botswana",2020,2589,70.6,71.2,374.1,30,877,17.2,10.46,430,1547,2942,1.62,1.71,104,740,557,0.01,0.04,0.02,0.02,3,0.28,0.1,0.15,0.16
"Botswana",2021,2620,71,68.8,381.5,29.8,851,17,10.4,427,1527,2936,1.55,1.69,95,760,565,0,0.02,0.01,0.01,1,0.14,0.05,0.07,0.07
"Botswana",2022,2622,68.6,66.7,383.2,29.3,741,16.7,10.23,422,1468,2754,1.52,1.59,87,680,509,0,0.02,0.01,0.01,1,0.14,0.05,0.07,0.07
"Brazil",2017,3237,102.5,121.8,401.9,29.6,785,15,13.76,433,1660,3574,1.62,1.61,137,705,545,0.02,0.05,0.03,0.03,4,0.54,0.15,0.23,0.14
